Date,Batch Locations,Gravity,pH,Temperature,ABV,Planned Start Date,Product,Batch,Original Gravity,OG Date
06/07/2024 ,FV18,4.3000,4.3800,70.0000,0.001,06/05/2024 08:00 AM,NA IPA,NA Trial 24075,4.50,06/05/2024 12:00 PM
06/07/2024 ,FV08,2.2200,4.6400,0.0000,0.0673,05/29/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070,14.75,05/29/2024 12:00 PM
06/07/2024 ,,3.8200,0.0000,0.0000,0.0542,05/20/2024 08:00 AM,Coastal Haze,COHZ 24066,13.90,05/20/2024 12:00 PM
06/07/2024 ,,2.1000,0.0000,0.0000,0.048,05/15/2024 08:00 AM,Staycationland,STAY 24064.2,11.14,05/15/2024 12:00 PM
06/07/2024 ,,11.1400,0.0000,0.0000,0.00,05/15/2024 08:00 AM,Staycationland,STAY 24064.2,11.14,05/15/2024 12:00 PM
06/07/2024 ,,3.7300,0.0000,0.0000,0.0468,05/23/2024 08:00 AM,Irish Stout (7),IST 24069 (Nitro only).1,12.20,05/23/2024 12:00 PM
06/07/2024 ,,12.2000,0.0000,0.0000,0.00,05/23/2024 08:00 AM,Irish Stout (7),IST 24069 (Nitro only).1,12.20,05/23/2024 12:00 PM
06/07/2024 ,,2.1000,0.0000,0.0000,0.048,05/15/2024 08:00 AM,Staycationland,STAY 24064.1,11.14,05/15/2024 12:00 PM
06/07/2024 ,,11.1400,0.0000,0.0000,0.00,05/15/2024 08:00 AM,Staycationland,STAY 24064.1,11.14,05/15/2024 12:00 PM
06/07/2024 ,,14.5000,3.4900,72.9000,0.0062,06/04/2024 08:00 AM,Limonchello,LEM 24074,15.60,06/04/2024 12:00 PM
06/07/2024 ,FV08,2.9000,4.6400,70.5000,0.0639,05/29/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070,14.75,05/29/2024 12:00 PM
06/07/2024 ,FV03,5.2000,4.3700,70.2000,0.044,06/03/2024 08:00 AM,Coastal Haze,COHZ 24071,13.35,06/03/2024 12:00 PM
06/07/2024 ,FV01,2.9000,4.3800,70.2000,0.0444,06/04/2024 08:00 AM,Baxter Pale Ale,BPA 24073,11.25,06/04/2024 12:00 PM
06/06/2024 ,FV18,4.5000,4.3400,69.7000,0.00,06/05/2024 08:00 AM,NA IPA,NA Trial 24075,4.50,06/05/2024 12:00 PM
06/06/2024 ,,5.2000,4.3100,73.6000,0.1507,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/06/2024 ,,4.4000,4.2700,74.3000,0.0722,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/06/2024 ,FV03,6.2000,4.3700,73.5000,0.0388,06/03/2024 08:00 AM,Coastal Haze,COHZ 24071,13.35,06/03/2024 12:00 PM
06/06/2024 ,FV01,4.3000,4.3200,72.6000,0.0371,06/04/2024 08:00 AM,Baxter Pale Ale,BPA 24073,11.25,06/04/2024 12:00 PM
06/06/2024 ,FV08,3.0000,4.6300,73.2000,0.0634,05/29/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070,14.75,05/29/2024 12:00 PM
06/06/2024 ,,2.6000,0.0000,0.0000,0.0654,05/14/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063.3,14.41,05/14/2024 12:00 PM
06/06/2024 ,,14.4100,0.0000,0.0000,0.00,05/14/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063.3,14.41,05/14/2024 12:00 PM
06/05/2024 ,FV18,4.5000,4.4000,0.0000,0.00,06/05/2024 08:00 AM,NA IPA,NA Trial 24075,4.50,06/05/2024 12:00 PM
06/05/2024 ,,2.6000,0.0000,0.0000,0.0654,05/14/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063.2,14.41,05/14/2024 12:00 PM
06/05/2024 ,,14.4100,0.0000,0.0000,0.00,05/14/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063.2,14.41,05/14/2024 12:00 PM
06/05/2024 ,,9.7000,4.4300,72.6000,0.1267,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/05/2024 ,,9.0000,4.3500,73.2000,0.0478,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/05/2024 ,FV01,10.0000,4.8500,70.0000,0.0068,06/04/2024 08:00 AM,Baxter Pale Ale,BPA 24073,11.25,06/04/2024 12:00 PM
06/05/2024 ,FV08,3.1000,4.6300,70.1000,0.0629,05/29/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070,14.75,05/29/2024 12:00 PM
06/05/2024 ,FV03,9.2000,4.4900,70.0000,0.0228,06/03/2024 08:00 AM,Coastal Haze,COHZ 24071,13.35,06/03/2024 12:00 PM
06/04/2024 ,,1.6700,4.1100,0.0000,0.0631,05/23/2024 08:00 AM,Jalapeno IPA (7),Mango Hab 24068,13.50,05/23/2024 12:00 PM
06/04/2024 ,,17.2000,5.1300,72.1000,0.077,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/04/2024 ,,17.3000,5.1800,71.8000,0.0017,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/04/2024 ,FV03,13.1000,5.0800,69.3000,0.0014,06/03/2024 08:00 AM,Coastal Haze,COHZ 24071,13.35,06/03/2024 12:00 PM
06/04/2024 ,FV08,3.1000,4.6100,69.2000,0.0629,05/29/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070,14.75,05/29/2024 12:00 PM
06/03/2024 ,,2.6000,0.0000,0.0000,0.0654,05/14/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063.1,14.41,05/14/2024 12:00 PM
06/03/2024 ,,14.4100,0.0000,0.0000,0.00,05/14/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063.1,14.41,05/14/2024 12:00 PM
05/29/2024 ,,1.8800,4.6200,0.0000,0.0686,05/21/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067,14.66,05/21/2024 12:00 PM
06/03/2024 ,FV08,3.2000,4.5800,69.9000,0.0624,05/29/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070,14.75,05/29/2024 12:00 PM
05/31/2024 ,,1.6500,0.0000,0.0000,0.0424,05/09/2024 08:00 AM,Baxter Blueberry,BLU 24062.1,9.53,05/09/2024 12:00 PM
05/31/2024 ,,9.5300,0.0000,0.0000,0.00,05/09/2024 08:00 AM,Baxter Blueberry,BLU 24062.1,9.53,05/09/2024 12:00 PM
05/31/2024 ,FV08,9.9000,4.6200,69.4000,0.0269,05/29/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070,14.75,05/29/2024 12:00 PM
05/30/2024 ,,2.4000,4.3800,69.7000,0.0593,05/23/2024 08:00 AM,Jalapeno IPA (7),Mango Hab 24068,13.50,05/23/2024 12:00 PM
05/30/2024 ,,3.7300,4.2700,0.0000,0.0453,05/23/2024 08:00 AM,Irish Stout (7),IST 24069 (Nitro only),12.20,05/23/2024 12:00 PM
05/30/2024 ,,4.2000,4.2700,69.0000,0.0428,05/23/2024 08:00 AM,Irish Stout (7),IST 24069 (Nitro only),12.20,05/23/2024 12:00 PM
05/29/2024 ,,3.8700,4.6100,0.0000,0.054,05/20/2024 08:00 AM,Coastal Haze,COHZ 24066,13.90,05/20/2024 12:00 PM
05/29/2024 ,,2.9000,0.0000,0.0000,0.0608,04/30/2024 08:00 AM,Coastal Haze,COHZ 24057.3,14.03,04/30/2024 12:00 PM
05/29/2024 ,,14.0300,0.0000,0.0000,0.00,04/30/2024 08:00 AM,Coastal Haze,COHZ 24057.3,14.03,04/30/2024 12:00 PM
05/29/2024 ,,2.9000,0.0000,0.0000,0.0608,04/30/2024 08:00 AM,Coastal Haze,COHZ 24057.2,14.03,04/30/2024 12:00 PM
05/29/2024 ,,14.0300,0.0000,0.0000,0.00,04/30/2024 08:00 AM,Coastal Haze,COHZ 24057.2,14.03,04/30/2024 12:00 PM
05/29/2024 ,,2.5000,4.3700,68.0000,0.0588,05/23/2024 08:00 AM,Jalapeno IPA (7),Mango Hab 24068,13.50,05/23/2024 12:00 PM
05/29/2024 ,,4.2000,4.2600,69.7000,0.0428,05/23/2024 08:00 AM,Irish Stout (7),IST 24069 (Nitro only),12.20,05/23/2024 12:00 PM
05/28/2024 ,,2.9000,0.0000,0.0000,0.0608,04/30/2024 08:00 AM,Coastal Haze,COHZ 24057.1,14.03,04/30/2024 12:00 PM
05/28/2024 ,,14.0300,0.0000,0.0000,0.00,04/30/2024 08:00 AM,Coastal Haze,COHZ 24057.1,14.03,04/30/2024 12:00 PM
05/28/2024 ,,2.1000,4.5200,0.0000,0.0485,05/15/2024 08:00 AM,Staycationland,STAY 24064,11.14,05/15/2024 12:00 PM
05/28/2024 ,,2.7000,4.2200,69.6000,0.0579,05/23/2024 08:00 AM,Jalapeno IPA (7),Mango Hab 24068,13.50,05/23/2024 12:00 PM
05/28/2024 ,,4.4000,4.2200,71.5000,0.0418,05/23/2024 08:00 AM,Irish Stout (7),IST 24069 (Nitro only),12.20,05/23/2024 12:00 PM
05/28/2024 ,,2.6000,4.5600,69.5000,0.065,05/21/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067,14.66,05/21/2024 12:00 PM
05/28/2024 ,,4.4000,4.5000,71.3000,0.0512,05/20/2024 08:00 AM,Coastal Haze,COHZ 24066,13.90,05/20/2024 12:00 PM
